dates,royalties,spotify_m_listeners,spotify_followers,youtube_subscribers,youtube_views,instagram_likes
1/29/2019,1680.608,1510151,218344,17500,17424694,0
1/30/2019,1677.168,1510151,219174,17500,17424694,0
1/31/2019,1677.308,1510151,219958,17500,17424694,0
2/1/2019,1741.54,1510151,220828,17500,17424694,0
2/2/2019,1659.34,1510151,221647,17500,17424694,0
2/3/2019,1505.536,1510151,222511,17500,17424694,0
2/4/2019,1548.112,1510151,223227,17500,17424694,0
2/5/2019,1606.344,1510151,224034,17500,17424694,0
2/6/2019,1634.624,1510151,224861,17500,17424694,0
2/7/2019,1663.896,1510151,225708,17500,17424694,0
2/8/2019,1742.044,1510151,226537,17500,17424694,0
2/9/2019,1585.764,1510151,227464,17500,17424694,0
2/10/2019,1447.668,1510151,228235,17500,17424694,0
2/11/2019,1499.552,1510151,228990,17500,17424694,0
2/12/2019,1567.928,1510151,229764,17500,17424694,0
2/13/2019,1591.972,1510151,230612,17500,17424694,0
2/14/2019,1643.26,1510151,231422,17500,17424694,0
2/15/2019,1795.78,1510151,232328,17500,17424694,0
2/16/2019,1705.556,1510151,233263,17500,17424694,0
2/17/2019,1563.732,1510151,234065,17500,17424694,0
2/18/2019,1581.368,1510151,234898,17500,17424694,0
2/19/2019,1601.968,1510151,235678,17500,17424694,0
2/20/2019,1649.244,1510151,236547,17500,17424694,0
2/21/2019,1693.04,1510151,237418,17500,17424694,0
2/22/2019,1748.336,1510151,238344,17500,17424694,0
2/23/2019,1653.1,1510151,239297,17500,17424694,0
2/24/2019,1545.268,1510151,240243,17500,17424694,0
2/25/2019,1575.376,1510151,241069,17500,17424694,0
2/26/2019,1642.688,1510151,241969,17500,17424694,0
2/27/2019,1671.752,1510151,242910,17500,17424694,0
2/28/2019,1617.5,1510151,243857,17500,17424694,0
3/1/2019,1724.484,1510151,244908,17500,17424694,0
3/2/2019,1638.496,1510151,245928,17500,17424694,0
3/3/2019,1539.808,1510151,246920,17500,17424694,0
3/4/2019,1606.572,1510151,247793,17500,17424694,0
3/5/2019,1667.304,1510151,248696,17500,17424694,0
3/6/2019,1696.556,1510151,249564,17500,17424694,0
3/7/2019,1722.98,1510151,250474,17500,17424694,0
3/8/2019,1793.616,1510151,251526,17500,17424694,0
3/9/2019,1738.992,1510151,252563,17500,17424694,0
3/10/2019,1604.588,1510151,253551,17500,17424694,0
3/11/2019,1648.516,1510151,254498,17500,17424694,0
3/12/2019,1654.06,1510151,255447,17500,17424694,0
3/13/2019,1689.184,1510151,256395,17500,17424694,0
3/14/2019,1712.736,1510151,257297,17500,17424694,0
3/15/2019,1785.38,1510151,258281,17500,17424694,0
3/16/2019,1710.16,1510151,259209,17500,17424694,0
3/17/2019,1582.416,1510151,260131,17500,17424694,0
3/18/2019,1635.968,1510151,260973,17500,17424694,0
3/19/2019,1672.26,1510151,261835,17500,17424694,0
3/20/2019,1717.916,1510151,262656,17500,17424694,0
3/21/2019,1734.092,1510151,263551,17500,17424694,0
3/22/2019,2080.536,1510151,264503,17500,17424694,0
3/23/2019,1887.696,1510151,265461,17500,17424694,0
3/24/2019,1745.352,1510151,266390,17500,17424694,0
3/25/2019,1826.56,1510151,267200,17500,17424694,0
3/26/2019,1830.564,1510151,267990,17500,17424694,0
3/27/2019,1831.876,1510151,268777,17500,17424694,0
3/28/2019,1852.504,1510151,269590,17500,17424694,0
3/29/2019,1922.42,1510151,270417,17500,17424694,0
3/30/2019,1815.58,1510151,271275,17500,17424694,0
3/31/2019,1680.776,1510151,271988,17500,17424694,0
4/1/2019,1727.54,1510151,272742,17500,17424694,0
4/2/2019,1763.436,1510151,273461,17500,17424694,0
4/3/2019,1819.688,1510151,274216,17500,17424694,0
4/4/2019,1833.016,1510151,274948,17500,17424694,0
4/5/2019,1949.56,1510151,275772,17500,17424694,0
4/6/2019,1835.896,1510151,276593,17500,17424694,0
4/7/2019,1661.18,1510151,277405,17500,17424694,0
4/8/2019,1719.48,1510151,278144,17500,17424694,0
4/9/2019,1751.768,1510151,278906,17500,17424694,0
4/10/2019,1214.996,1510151,279585,17500,17424694,0
4/11/2019,861.98,1510151,280325,17500,17424694,0
4/12/2019,857.468,1510151,281082,17500,17424694,0
4/13/2019,782.796,1510151,281889,17500,17424694,0
4/14/2019,712.86,1510151,282608,17500,17424694,0
4/15/2019,776.184,1510151,283214,17500,17424694,0
4/16/2019,785.208,1510151,283822,17500,17424694,0
4/17/2019,753.66,1510151,284415,17500,17424694,0
4/18/2019,765.18,1510151,285082,17500,17424694,0
4/19/2019,740.336,1510151,285737,17500,17424694,0
4/20/2019,689,1510151,286420,17500,17424694,0
4/21/2019,652.124,1510151,287110,17500,17424694,0
4/22/2019,697.48,1510151,287651,17500,17424694,0
4/23/2019,700.548,1510151,288242,17500,17424694,0
4/24/2019,713.92,1510151,288854,17500,17424694,0
4/25/2019,715.46,1510151,289517,17500,17424694,0
4/26/2019,716.468,1510151,290121,17500,17424694,0
4/27/2019,671.192,1510151,290808,17500,17424694,0
4/28/2019,628.704,1510151,291458,17500,17424694,0
4/29/2019,668.208,1510151,292036,17500,17424694,0
4/30/2019,697.536,1510151,292595,17500,17424694,0
5/1/2019,693.452,1510151,293253,17500,17424694,0
5/2/2019,700.54,1510151,293901,17500,17424694,0
5/3/2019,725,1510151,294545,17500,17424694,0
5/4/2019,674.544,1510151,295310,17500,17424694,0
5/5/2019,630.66,1510151,296009,17500,17424694,0
5/6/2019,664.732,1510151,296602,17500,17424694,0
5/7/2019,673.132,1510151,297206,17500,17424694,0
5/8/2019,689.348,1510151,297857,17500,17424694,0
5/9/2019,670.52,1510151,298413,17500,17424694,0
5/10/2019,687.432,1510151,298985,17500,17424694,0
5/11/2019,642.72,1510151,299680,17500,17424694,0
5/12/2019,595.868,1510151,300239,17500,17424694,0
5/13/2019,630.9,1510151,300721,17500,17424694,0
5/14/2019,639.776,1510151,301281,17500,17424694,0
5/15/2019,656.312,1510151,301797,17500,17424694,0
5/16/2019,665.948,1510151,302409,17500,17424694,0
