dates,royalties,spotify_m_listeners,spotify_followers,youtube_subscribers,youtube_views,instagram_followers,twitter_followers
11/15/2018,0.708,2670,8745,121,3812,9067,1436
11/16/2018,0.82,2671,8744,121,3821,9066,1436
11/17/2018,0.792,2659,8742,121,3829,9064,1435
11/18/2018,0.672,2652,8741,121,3838,9062,1435
11/19/2018,0.78,2645,8742,121,3847,9060,1436
11/20/2018,0.648,2649,8742,121,3861,9068,1438
11/21/2018,0.692,2638,8743,121,3874,9075,1438
11/22/2018,0.752,2616,8744,121,3883,9081,1438
11/23/2018,0.684,2593,8745,121,3892,9080,1438
11/24/2018,0.672,2577,8745,121,3901,9075,1437
11/25/2018,0.632,2578,8744,121,3909,9083,1436
11/26/2018,0.496,2558,8744,121,3914,9085,1436
11/27/2018,0.524,2551,8743,121,3919,9082,1436
11/28/2018,0.608,2533,8742,121,3923,9080,1438
11/29/2018,0.796,2513,8741,121,3927,9081,1438
11/30/2018,0.756,2510,8740,121,3941,9092,1437
12/1/2018,0.576,2509,8740,121,3955,9094,1437
12/2/2018,0.576,2495,8740,121,3961,9097,1438
12/3/2018,0.684,2488,8741,121,3967,9107,1438
12/4/2018,0.652,2476,8741,121,3974,9104,1438
12/5/2018,0.788,2471,8741,121,3980,9105,1437
12/6/2018,0.788,2434,8741,121,3984,9096,1437
12/7/2018,0.896,2433,8742,121,3987,9096,1437
12/8/2018,0.828,2431,8740,121,3993,9095,1436
12/9/2018,0.704,2429,8740,121,3998,9088,1436
12/10/2018,0.82,2412,8739,121,4007,9096,1437
12/11/2018,0.652,2411,8736,121,4015,9145,1438
12/12/2018,0.732,2376,8736,121,4045,9149,1438
12/13/2018,0.7,2332,8736,121,4075,9147,1439
12/14/2018,0.676,2335,8737,78,4082,9149,1440
12/15/2018,0.7,2331,8737,35,4088,9151,1440
12/16/2018,0.524,2331,8737,35,4095,9150,1440
12/17/2018,0.76,2328,8738,35,4102,9158,1440
12/18/2018,0.752,2320,8738,35,4106,9166,1440
12/19/2018,0.796,2307,8737,35,4109,9174,1440
12/20/2018,0.86,2315,8737,35,4115,9182,1440
12/21/2018,0.76,2318,8737,35,4121,9190,1439
12/22/2018,0.776,2321,8738,35,4123,9198,1439
12/23/2018,0.704,2319,8739,35,4125,9206,1439
12/24/2018,0.62,2316,8739,35,4131,9214,1438
12/25/2018,0.592,2328,8740,35,4137,9222,1438
12/26/2018,0.748,2323,8739,35,4142,9230,1439
12/27/2018,0.684,2324,8736,35,4147,9238,1438
12/28/2018,0.632,2313,8735,35,4150,9247,1437
12/29/2018,0.648,2304,8735,35,4153,9255,1438
12/30/2018,0.62,2300,8734,35,4168,9263,1438
12/31/2018,0.688,2318,8736,35,4183,9271,1437
1/1/2019,0.568,2329,8736,35,4185,9279,1436
1/2/2019,0.552,2345,8737,35,4189,9287,1437
1/3/2019,0.568,2323,8737,35,4192,9295,1436
1/4/2019,0.612,2300,8737,35,4189,9303,1436
1/5/2019,0.66,2282,8737,35,4185,9311,1436
1/6/2019,0.808,2274,8737,35,4208,9319,1436
1/7/2019,0.804,2265,8741,35,4230,9327,1436
1/8/2019,0.652,2284,8741,35,4244,9335,1434
1/9/2019,0.644,2295,8741,35,4258,9343,1434
1/10/2019,0.652,2306,8740,35,4265,9351,1432
1/11/2019,0.588,2295,8740,35,4271,9359,1432
1/12/2019,0.496,2290,8741,35,4281,9367,1431
1/13/2019,0.564,2282,8741,35,4291,9375,1431
1/14/2019,0.616,2284,8740,35,4300,9383,1430
1/15/2019,0.692,2282,8741,35,4308,9391,1428
1/16/2019,0.684,2281,8741,35,4319,9399,1430
1/17/2019,0.48,2280,8741,35,4330,9407,1431
1/18/2019,0.696,2285,8740,35,4338,9415,1431
1/19/2019,0.608,2272,8740,35,4346,9423,1432
1/20/2019,0.392,2297,8740,36,4360,9431,1433
1/21/2019,0.656,2308,8740,36,4373,9440,1432
1/22/2019,0.636,2280,8741,36,4379,9448,1433
1/23/2019,0.704,2285,8742,36,4384,9456,1433
1/24/2019,0.76,2292,8743,36,4393,9464,1433
1/25/2019,0.688,2299,8743,36,4402,9472,1433
1/26/2019,0.632,2309,8742,36,4410,9480,1433
1/27/2019,0.496,2319,8741,36,4417,9488,1433
1/28/2019,0.604,2317,8741,36,4423,9496,1432
1/29/2019,0.592,2296,8740,36,4428,9504,1432
1/30/2019,0.488,2270,8741,36,4438,9512,1432
1/31/2019,0.804,2273,8741,36,4448,9520,1432
2/1/2019,0.72,2272,8740,36,4459,9528,1432
2/2/2019,0.568,2293,8740,36,4467,9528,1432
2/3/2019,0.464,2304,8740,36,4474,9527,1432
2/4/2019,0.612,2303,8740,36,4479,9527,1432
2/5/2019,0.808,2294,8739,36,4483,9527,1431
2/6/2019,0.668,2306,8739,36,4489,9525,1430
2/7/2019,0.852,2311,8739,36,4495,9522,1431
2/8/2019,0.824,2310,8740,36,4502,9548,1431
2/9/2019,0.644,2333,8741,36,4508,9575,1431
2/10/2019,0.548,2358,8738,36,4516,9601,1431
2/11/2019,0.924,2372,8738,36,4524,9599,1432
2/12/2019,0.808,2386,8738,36,4540,9596,1432
2/13/2019,0.78,2426,8738,36,4555,9598,1431
2/14/2019,0.728,2443,8738,36,4565,9600,1431
2/15/2019,0.8,2459,8738,36,4574,9602,1431
2/16/2019,0.72,2477,8739,36,4590,9591,1430
2/17/2019,0.708,2478,8740,36,4606,9594,1429
2/18/2019,0.824,2482,8740,37,4616,9680,1429
2/19/2019,0.808,2513,8740,37,4626,9696,1432
2/20/2019,0.624,2545,8740,37,4635,9711,1432
2/21/2019,0.76,2577,8740,37,4644,9712,1431
2/22/2019,0.732,2580,8740,37,4652,9712,1431
2/23/2019,0.66,2593,8740,37,4660,9717,1432
2/24/2019,0.52,2606,8740,37,4665,9720,1432
2/25/2019,0.684,2619,8740,37,4669,9722,1432
2/26/2019,0.712,2632,8741,37,4677,9758,1432
2/27/2019,0.752,2645,8741,37,4684,9794,1431
2/28/2019,0.74,2658,8741,37,4691,9798,1431
3/1/2019,0.848,2671,8741,37,4698,9802,1431
3/2/2019,0.748,2684,8741,37,4702,9807,1432
3/3/2019,0.616,2694,8740,37,4705,9811,1432
3/4/2019,0.72,2708,8742,37,4712,9829,1432
3/5/2019,0.628,2714,8742,37,4718,9846,1432
3/6/2019,1.988,2734,8743,37,4726,9856,1432
3/7/2019,0.648,2723,8742,37,4735,9866,1432
3/8/2019,0.712,2723,8742,37,4743,9877,1432
3/9/2019,0.692,2710,8745,37,4751,9887,1432
3/10/2019,0.692,2703,8745,37,4757,9897,1432
3/11/2019,0.696,2701,8746,37,4762,9907,1432
3/12/2019,0.788,2722,8746,38,4770,9918,1431
3/13/2019,0.796,2722,8747,38,4778,9928,1431
3/14/2019,1.02,2713,8748,38,4788,9938,1431
3/15/2019,1.032,2733,8748,38,4797,9946,1431
3/16/2019,0.76,2755,8749,38,4808,9953,1431
3/17/2019,0.6,2773,8750,38,4819,9961,1429
3/18/2019,0.82,2780,8749,38,4828,9968,1429
3/19/2019,0.728,2767,8748,38,4836,9976,1429
3/20/2019,0.772,2768,8749,38,4840,9983,1429
3/21/2019,0.816,2763,8748,38,4844,9991,1430
3/22/2019,0.808,2772,8748,38,4849,9998,1434
3/23/2019,0.692,2781,8748,38,4854,10001,1435
3/24/2019,0.62,2790,8748,38,4863,10004,1435
3/25/2019,1.736,2783,8752,38,4872,13723,1434
3/26/2019,1.34,2786,8756,38,4878,17441,1436
3/27/2019,1.108,2879,8757,38,4883,17671,1436
3/28/2019,0.916,2905,8758,38,4892,17901,1435
3/29/2019,1.036,2909,8758,38,4900,17907,1435
3/30/2019,0.984,2921,8759,39,4906,17913,1435
3/31/2019,0.74,2933,8759,39,4911,17919,1434
4/1/2019,0.952,2945,8760,39,4917,17909,1434
4/2/2019,0.88,2943,8759,39,4925,17898,1434
4/3/2019,0.968,2941,8758,39,4933,17888,1434
4/4/2019,1.024,2954,8759,39,4937,17882,1434
4/5/2019,1.068,2967,8759,39,4941,17875,1434
4/6/2019,0.788,2994,8758,40,4947,17873,1433
4/7/2019,0.716,3016,8757,40,4953,17870,1433
4/8/2019,0.816,3013,8757,40,4962,17868,1433
4/9/2019,0.804,3005,8756,40,4971,17866,1433
4/10/2019,1.06,3010,8756,40,4980,17856,1433
4/11/2019,0.984,3013,8756,40,4989,17846,1433
4/12/2019,0.936,3025,8757,41,5000,17842,1432
4/13/2019,0.964,3036,8757,41,5010,17838,1432
4/14/2019,0.716,3033,8757,41,5018,17838,1432
4/15/2019,0.876,3030,8756,41,5025,17837,1432
4/16/2019,0.92,3052,8756,41,5031,17828,1432
4/17/2019,0.956,3073,8756,41,5036,17818,1431
4/18/2019,0.992,3100,8756,41,5043,17824,1431
4/19/2019,0.968,3127,8755,41,5049,17830,1431
4/20/2019,0.94,3140,8755,41,5054,17828,1431
4/21/2019,0.848,3153,8754,41,5060,17826,1431
4/22/2019,0.772,3166,8754,41,5065,17824,1431
4/23/2019,0.84,3179,8753,41,5070,17822,1430
4/24/2019,0.952,3192,8753,41,5073,17815,1430
4/25/2019,0.936,3197,8753,41,5076,17808,1430
4/26/2019,0.968,3203,8754,41,5080,17810,1430
4/27/2019,0.824,3208,8754,41,5083,17812,1430
4/28/2019,0.684,3211,8758,41,5092,17813,1429
4/29/2019,0.816,3196,8760,41,5101,17814,1429
4/30/2019,0.924,3199,8761,41,5105,17809,1429
