author_id;id;text;edit_history_tweet_ids;created_at;lang
1506127736577871872;1710006273226183067;@RitaOra Sorry to bother you, you can make your Brazilian fan's dream come true by following him here on twitter and @euttonny,surely you have no idea how much you influence his life in a positive way, and you brightened his life in a difficult moment:(🤍🤍🤍🤍🤍🤍❤❤❤❤❤;['1710006273226183067'];2023-10-05 18:57:20;en
367166336;1710006073896083763;"@RitaOra BIDEN CAN DO IT FOR HISTORY
💔💔💔SOS 9/11 INNOCENTS, 
RISE FUNDS TO OUR 3000 VICTIMS FAMILIES, 3 BILLIONS=ONLY 1 MILLION PER FAMILIES. 
MUSK LOVES USA BUT CANADIAN, BEZOS DON'T GONNA BE BOZOS, BILL GATES A GATE TO CHILD, IMAGINE💔💔💔make them have a house, studies paid,a";['1710006073896083763'];2023-10-05 18:56:33;en
1284885814011465729;1710005936138375370;@RitaOra i love you reets 🩷;['1710005936138375370'];2023-10-05 18:56:00;en
21901277;1710005928895074456;@RitaOra You're welcome.  😊;['1710005928895074456'];2023-10-05 18:55:58;en
1122223104263172097;1710005652389527744;@RitaOra you deserve it so much !! 💕;['1710005652389527744'];2023-10-05 18:54:52;en
1122223104263172097;1710005619036471667;@RitaOra I’m so proud of you !! 🤍;['1710005619036471667'];2023-10-05 18:54:44;en
2889518661;1710005560148422701;@RitaOra Always so proud of you!!!❤️❤️;['1710005560148422701'];2023-10-05 18:54:30;en
3457668677;1710005477558407482;@RitaOra We love you so much bby girl 🥺;['1710005477558407482'];2023-10-05 18:54:10;en
3238869100;1710005425389674799;@RitaOra I’m beyond proud of you, forever a queen and a legend , love you 😘;['1710005425389674799'];2023-10-05 18:53:58;en
1547286171331575808;1710005418154504338;@RitaOra Yess!!!! We love it and always will ❤️;['1710005418154504338'];2023-10-05 18:53:56;en
1864396375;1710005376282726796;@RitaOra So proud of you ❤️;['1710005376282726796'];2023-10-05 18:53:46;en
1501674446712676359;1710005311426212322;@RitaOra I LOVE YOU RITA😭😭💜💜;['1710005311426212322'];2023-10-05 18:53:31;en
27725199;1710005267314753975;Record breaking fanbase 🥰 wouldn’t have been possible without all your love and support, thanks so much 💕🥹 https://t.co/XiRu3vvpJm;['1710005267314753975'];2023-10-05 18:53:20;en
1709508008080707584;1709527132584529952;@RitaOra @AmazonMusicUK Would you like to increase your assets at least 2 times before 2024? Consult us. Let us inform you about the best investment tools for only 100 dollars. We kindly ask you to send us a private message. We collect the fee after providing the service.;['1709527132584529952'];2023-10-04 11:13:24;en
870328324660252672;1709511918120321534;@RitaOra I was driving on the highway today to my classes ( I don’t like highway driving) I put my personal car tunes playlist on shuffle on Spotify, it played ur songs back to back. the entire trip. i was so calm, thank you Rita 🌸 you always know when I need you ☺️;['1709511918120321534'];2023-10-04 10:12:57;en
1574741729219313665;1709249025332097377;"@RitaOra @AmazonMusicUK Hey @RitaOra ur country is in shambles right now due to renewed aggression from Serbia and u’ve been silent. Shame on u. 

I get wanting to stay out of politics to protect ur career but I think in scenarios like this, u can forget about ur bank account for 2 seconds.";['1709249025332097377'];2023-10-03 16:48:18;en
832610083934703618;1709151139302707456;@RitaOra miss u endlessly;['1709151139302707456'];2023-10-03 10:19:20;en
1036801855626661889;1708968279585280216;@RitaOra taking notes https://t.co/McbhzgB0Td https://t.co/sVYOn5zKbf;['1708968279585280216'];2023-10-02 22:12:43;en
